Name,Type,Asset,ID,Lots,Open,Close,Entry,Exit,Profit,Roll,ExitType
H1,Short,EUR/USD,3572509,1,2012-11-21 12:00,2012-11-21 23:00,1.28076,1.28279,-2.03,0.00,Reverse
H1,Short,SPX500,3572610,1,2012-11-21 13:00,2012-11-21 23:00,1388.40,1391.50,-2.70,0.00,Reverse
D1,Long,SPX500,3556861,1,2012-11-12 20:00,2012-11-21 23:00,1382.10,1391.50,8.19,0.00,Reverse
H1,Long,SPX500,3573613,1,2012-11-21 23:00,2012-11-22 00:00,1391.50,1393.40,1.65,0.00,Reverse
H4,Long,EUR/USD,3572406,1,2012-11-21 11:00,2012-11-22 03:00,1.27895,1.28487,5.92,0.00,Reverse
H1,Short,SPX500,3573715,1,2012-11-22 00:00,2012-11-22 06:00,1393.40,1392.90,0.44,0.00,Reverse
H1,Long,USD/JPY,3573111,1,2012-11-21 18:00,2012-11-22 09:00,82.4580,82.7740,2.31,0.00,Reverse
H1,Long,EUR/USD,3573612,1,2012-11-21 23:00,2012-11-22 14:00,1.28279,1.28849,5.70,0.00,Reverse
H1,Short,USD/JPY,3574618,1,2012-11-22 09:00,2012-11-22 16:00,82.7740,82.5540,1.61,0.00,Reverse
H1,Short,EUR/USD,3575119,1,2012-11-22 14:00,2012-11-22 20:00,1.28849,1.28829,0.20,0.00,Reverse
H1,Long,SPX500,3574317,1,2012-11-22 06:00,2012-11-23 01:00,1392.90,1393.60,0.61,0.00,Reverse
H1,Long,EUR/USD,3575721,1,2012-11-22 20:00,2012-11-23 04:00,1.28829,1.28867,0.38,0.00,Reverse
H4,Short,USD/JPY,3572408,1,2012-11-21 11:00,2012-11-23 07:00,82.2950,82.2880,0.05,0.00,Reverse
H1,Long,USD/JPY,3575320,1,2012-11-22 16:00,2012-11-23 08:00,82.5540,82.3370,-1.59,0.00,Reverse
H1,Short,SPX500,3576222,1,2012-11-23 01:00,2012-11-23 13:00,1393.60,1393.60,0.00,0.00,Reverse
H1,Long,SPX500,3577426,1,2012-11-23 13:00,2012-11-23 15:00,1393.60,1398.40,4.18,0.00,Reverse
H4,Long,SPX500,3571203,1,2012-11-20 23:00,2012-11-23 19:00,1388.40,1409.10,18.03,0.00,Reverse
H1,Short,EUR/USD,3576523,1,2012-11-23 04:00,2012-11-26 03:00,1.28867,1.29535,-6.68,0.00,Reverse
H1,Short,SPX500,3577627,1,2012-11-23 15:00,2012-11-26 03:00,1398.40,1403.60,-4.53,0.00,Reverse
H1,Short,USD/JPY,3576925,1,2012-11-23 08:00,2012-11-26 05:00,82.3370,82.3340,0.02,0.00,Reverse
H1,Long,SPX500,3578530,1,2012-11-26 03:00,2012-11-26 16:00,1403.60,1400.40,-2.79,0.00,Reverse
H4,Short,EUR/USD,3574016,1,2012-11-22 03:00,2012-11-26 18:00,1.28487,1.29599,-11.12,0.00,Reverse
H1,Long,USD/JPY,3578731,1,2012-11-26 05:00,2012-11-26 18:00,82.3340,82.1430,-1.40,0.00,Reverse
H1,Long,EUR/USD,3578529,1,2012-11-26 03:00,2012-11-26 19:00,1.29535,1.29620,0.85,0.00,Reverse
H1,Short,SPX500,3579832,1,2012-11-26 16:00,2012-11-27 09:00,1400.40,1407.40,-6.10,0.00,Reverse
H1,Short,EUR/USD,3580135,1,2012-11-26 19:00,2012-11-27 11:00,1.29620,1.29450,1.70,0.00,Reverse
H1,Short,USD/JPY,3580034,1,2012-11-26 18:00,2012-11-27 13:00,82.1430,82.1430,0.00,0.00,Reverse
H4,Long,USD/JPY,3576824,1,2012-11-23 07:00,2012-11-27 18:00,82.2880,82.1680,-0.88,0.00,Reverse
H1,Long,EUR/USD,3581737,1,2012-11-27 11:00,2012-11-28 00:00,1.29450,1.29377,-0.73,0.00,Reverse
H4,Short,SPX500,3578028,1,2012-11-23 19:00,2012-11-28 02:00,1409.10,1396.10,11.32,0.00,Reverse
H1,Long,SPX500,3581536,1,2012-11-27 09:00,2012-11-28 05:00,1407.40,1398.90,-7.40,0.00,Reverse
H1,Long,USD/JPY,3581938,1,2012-11-27 13:00,2012-11-28 09:00,82.1430,81.8130,-2.42,0.00,Reverse
H1,Short,EUR/USD,3583040,1,2012-11-28 00:00,2012-11-28 14:00,1.29377,1.28954,4.23,0.00,Reverse
H1,Short,SPX500,3583542,1,2012-11-28 05:00,2012-11-28 17:00,1398.90,1398.60,0.26,0.00,Reverse
H1,Long,SPX500,3584745,1,2012-11-28 17:00,2012-11-28 18:00,1398.60,1405.10,5.66,0.00,Reverse
H1,Long,EUR/USD,3584444,1,2012-11-28 14:00,2012-11-28 19:00,1.28954,1.29317,3.63,0.00,Reverse
H1,Short,SPX500,3584846,1,2012-11-28 18:00,2012-11-29 04:00,1405.10,1409.90,-4.18,0.00,Reverse
H1,Short,USD/JPY,3583943,1,2012-11-28 09:00,2012-11-29 05:00,81.8130,82.1140,-2.20,0.00,Reverse
H1,Short,EUR/USD,3584947,1,2012-11-28 19:00,2012-11-29 06:00,1.29317,1.29507,-1.90,0.00,Reverse
H4,Long,EUR/USD,3580033,1,2012-11-26 18:00,2012-11-29 06:00,1.29599,1.29507,-0.92,0.00,Reverse
H1,Long,EUR/USD,3586050,1,2012-11-29 06:00,2012-11-29 14:00,1.29507,1.29858,3.51,0.00,Reverse
H4,Long,SPX500,3583241,1,2012-11-28 02:00,2012-11-29 14:00,1396.10,1415.40,16.81,0.00,Reverse
H1,Short,EUR/USD,3586852,1,2012-11-29 14:00,2012-11-29 16:00,1.29858,1.29790,0.68,0.00,Reverse
H1,Long,USD/JPY,3585949,1,2012-11-29 05:00,2012-11-30 01:00,82.1140,82.1320,0.13,0.00,Reverse
H1,Long,EUR/USD,3587054,1,2012-11-29 16:00,2012-11-30 03:00,1.29790,1.29962,1.72,0.00,Reverse
H1,Long,SPX500,3585848,1,2012-11-29 04:00,2012-11-30 07:00,1409.90,1415.40,4.79,0.00,Reverse
H1,Short,EUR/USD,3588156,1,2012-11-30 03:00,2012-11-30 14:00,1.29962,1.29812,1.50,0.00,Reverse
